timestamp,node_id,region,latitude,longitude,consumption_mu,year,month,dayofweek,dayofyear,is_weekend,is_holiday,temperature_c,humidity,lag_1d,lag_7d,lag_30d,roll_mean_7d,roll_std_7d,roll_mean_30d,dow_sin,dow_cos,month_sin,month_cos,doy_sin,doy_cos,target_next_1d,target_next_7d
2019-02-02,Sikkim,ER,27.3333303,88.6166475,1.3,2019,2,5,33,1,0,9.5,46,1.2,0.9,2.0,1.1714285714285715,0.11126972805283769,1.1400000000000001,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0.5380051715382996,0.8429415373547828,1.1,0.9
2019-02-03,Sikkim,ER,27.3333303,88.6166475,1.1,2019,2,6,34,1,0,8.0,68,1.3,1.2,1.9,1.157142857142857,0.11338934190276848,1.1133333333333333,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,0.5524353131676196,0.8335557718385699,1.0,1.1
2019-02-04,Sikkim,ER,27.3333303,88.6166475,1.0,2019,2,0,35,0,0,9.8,70,1.1,1.3,1.7,1.1142857142857143,0.10690449676497005,1.0899999999999999,0.0,1.0,0.8660254037844386,0.5000000000000001,0.5667017562911176,0.8239230057575542,1.3,1.2
2019-02-05,Sikkim,ER,27.3333303,88.6166475,1.3,2019,2,1,36,0,0,10.0,75,1.0,1.1,2.0,1.1428571428571428,0.12724180205607064,1.0666666666666667,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0.5808002734538009,0.8140460935082178,1.2,1.2
2019-02-06,Sikkim,ER,27.3333303,88.6166475,1.2,2019,2,2,37,0,0,9.5,84,1.3,1.0,2.0,1.1714285714285713,0.11126972805283768,1.04,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,0.5947266869607634,0.8039279618328213,0.7,1.1
2019-02-07,Sikkim,ER,27.3333303,88.6166475,0.7,2019,2,3,38,0,0,10.2,85,1.2,1.1,1.5,1.1142857142857143,0.21157009420498166,1.0133333333333332,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0.6084768701151261,0.7935716089521474,0.7,1.3
2019-02-08,Sikkim,ER,27.3333303,88.6166475,0.7,2019,2,4,39,0,0,10.0,86,0.7,1.2,1.6,1.042857142857143,0.25727509827124007,0.9833333333333333,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0.6220467484408675,0.7829801036770629,0.9,1.5
2019-02-09,Sikkim,ER,27.3333303,88.6166475,0.9,2019,2,5,40,1,0,6.8,91,0.7,1.3,1.1,0.9857142857142858,0.2340126166724879,0.9766666666666667,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0.6354323008901774,0.7721565844991642,1.1,1.6
2019-02-10,Sikkim,ER,27.3333303,88.6166475,1.1,2019,2,6,41,1,0,7.2,63,0.9,1.1,1.1,0.9857142857142858,0.2340126166724879,0.9766666666666667,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,0.6486295610349814,0.7611042586607747,1.2,1.5
2019-02-11,Sikkim,ER,27.3333303,88.6166475,1.2,2019,2,0,42,0,0,8.6,63,1.1,1.0,0.8,1.0142857142857142,0.247847879612821,0.9900000000000001,0.0,1.0,0.8660254037844386,0.5000000000000001,0.6616346182422783,0.7498264012045686,1.2,1.5
